Event,Probability,Word_Order,Eta0,Eta1,Eta2,I1,I2,Entropy_Deviation_Score,Surprisal1,Surprisal2,Surprisal3,Surprisal_Deviation_Score,Mutual_Information
ORE APO ÑEMONGETA,0.07142857142857142,SVO,3.807354922057604258413196764950360164505510576448880,2.32192809488736227179033963106317000,0.0,1.485426827170241986622857133887190164505510576448880,2.32192809488736227179033963106317000,0.500000000000000000000000000000000025,1.4854268271702418664274314252143850,2.3219280948873622717903396310631700,0E+14,0.499999999999999886323045493014664775,1.2927817492278460046452024814919402
ORE APO ÑEMONGETA,0.07142857142857142,SOV,3.807354922057604258413196764950360164505510576448880,2.32192809488736227179033963106317000,0.0,1.485426827170241986622857133887190164505510576448880,2.32192809488736227179033963106317000,0.500000000000000000000000000000000025,1.4854268271702418664274314252143850,2.3219280948873622717903396310631700,0E+14,0.499999999999999886323045493014664775,3.292781749227846004645202481491940
ORE APO ÑEMONGETA,0.07142857142857142,VSO,3.807354922057604258413196764950360164505510576448880,2.000,0.0,1.807354922057604258413196764950360164505510576448880,2.000,0.500000000000000000000000000000000025,1.8073549220576041382177710562775550,2.0,0E+14,0.499999999999999886323045493014664775,0.9708536543404837328548628504287702
ORE APO ÑEMONGETA,0.07142857142857142,VOS,3.807354922057604258413196764950360164505510576448880,2.000,0.0,1.807354922057604258413196764950360164505510576448880,2.000,0.500000000000000000000000000000000025,1.8073549220576041382177710562775550,2.0,0E+14,0.499999999999999886323045493014664775,3.292781749227846004645202481491940
ORE APO ÑEMONGETA,0.07142857142857142,OVS,3.807354922057604258413196764950360164505510576448880,0.0,0.0,3.807354922057604258413196764950360164505510576448880,0.0,0.999999999999999999999999999999999975,3.8073549220576047152957874118629260,0E+14,0E+14,0.999999999999999999999999999999999975,1.2927817492278460046452024814919402
ORE APO ÑEMONGETA,0.07142857142857142,OSV,3.807354922057604258413196764950360164505510576448880,0.0,0.0,3.807354922057604258413196764950360164505510576448880,0.0,0.999999999999999999999999999999999975,3.8073549220576047152957874118629260,0E+14,0E+14,0.999999999999999999999999999999999975,0.9708536543404837328548628504287702
ORE MBA'E MBA'E,0.07142857142857142,SVO,3.807354922057604258413196764950360164505510576448880,2.32192809488736227179033963106317000,0.0,1.485426827170241986622857133887190164505510576448880,2.32192809488736227179033963106317000,0.500000000000000000000000000000000025,1.4854268271702418664274314252143850,2.3219280948873622717903396310631700,0E+14,0.499999999999999886323045493014664775,4.292781749227846293184210659284626
ORE MBA'E MBA'E,0.07142857142857142,SOV,3.807354922057604258413196764950360164505510576448880,2.32192809488736227179033963106317000,0.0,1.485426827170241986622857133887190164505510576448880,2.32192809488736227179033963106317000,0.500000000000000000000000000000000025,1.4854268271702418664274314252143850,2.3219280948873622717903396310631700,0E+14,0.499999999999999886323045493014664775,3.2927817492278462931842106592846262
ORE MBA'E MBA'E,0.07142857142857142,VSO,3.807354922057604258413196764950360164505510576448880,0.0,0.0,3.807354922057604258413196764950360164505510576448880,0.0,0.999999999999999999999999999999999975,3.8073549220576047152957874118629260,0E+14,0E+14,0.999999999999999999999999999999999975,1.9708536543404837328548628504287702
ORE MBA'E MBA'E,0.07142857142857142,VOS,3.807354922057604258413196764950360164505510576448880,0.0,0.0,3.807354922057604258413196764950360164505510576448880,0.0,0.999999999999999999999999999999999975,3.8073549220576047152957874118629260,0E+14,0E+14,0.999999999999999999999999999999999975,3.2927817492278462931842106592846262
ORE MBA'E MBA'E,0.07142857142857142,OVS,3.807354922057604258413196764950360164505510576448880,1.00,0.0,2.807354922057604258413196764950360164505510576448880,1.00,0.606025697444209693653714669758937975,2.8073549220576044267567792340702410,1.0,0E+14,0.606025697444209684092153722961107325,4.292781749227846293184210659284626
ORE MBA'E MBA'E,0.07142857142857142,OSV,3.807354922057604258413196764950360164505510576448880,1.00,0.0,2.807354922057604258413196764950360164505510576448880,1.00,0.606025697444209693653714669758937975,2.8073549220576044267567792340702410,1.0,0E+14,0.606025697444209684092153722961107325,1.9708536543404837328548628504287702
CHE 'U KA'AY,0.07142857142857142,SVO,3.807354922057604258413196764950360164505510576448880,1.00,0.0,2.807354922057604258413196764950360164505510576448880,1.00,0.606025697444209693653714669758937975,2.8073549220576044267567792340702410,1.0,0E+14,0.606025697444209684092153722961107325,3.444784842672896134171782062623902
CHE 'U KA'AY,0.07142857142857142,SOV,3.807354922057604258413196764950360164505510576448880,1.00,0.0,2.807354922057604258413196764950360164505510576448880,1.00,0.606025697444209693653714669758937975,2.8073549220576044267567792340702410,1.0,0E+14,0.606025697444209684092153722961107325,5.029747343394052493842670265382192
