Event,Probability,Word_Order,Eta0,Eta1,Eta2,I1,I2,Entropy_Deviation_Score,Surprisal1,Surprisal2,Surprisal3,Surprisal_Deviation_Score,Mutual_Information
H?NH ?N SÁNG,7.861635220125787E-4,SVO,10.29401503075605546712059343035861428195068866939147360,1.58496250072115635967088820275828984150374992788436403291117972417100,0.0,8.70905253003489910744970522760032444044693874150710956708882027582900,1.58496250072115635967088820275828984150374992788436403291117972417100,0.769046019072392930091462114866351025,8.7279204545631996406498729580872200,1.5849625007211563596708882027582900,0E+14,0.769468560693445619410321769075152050,13.811984719351673727832538031773701
H?NH ?N SÁNG,7.861635220125787E-4,SOV,10.29401503075605546712059343035861428195068866939147360,1.58496250072115635967088820275828984150374992788436403291117972417100,0.0,8.70905253003489910744970522760032444044693874150710956708882027582900,1.58496250072115635967088820275828984150374992788436403291117972417100,0.769046019072392930091462114866351025,8.7279204545631996406498729580872200,1.5849625007211563596708882027582900,0E+14,0.769468560693445619410321769075152050,14.548950313517880361299509904560295
H?NH ?N SÁNG,7.861635220125787E-4,VSO,10.29401503075605546712059343035861428195068866939147360,2.32192809488736227179033963106317000,0.0,7.97208693586869319533025379929544428195068866939147360,2.32192809488736227179033963106317000,0.661658533436662517468978410547772225,7.9909548603969930071829010853006260,2.3219280948873622717903396310631700,0E+14,0.662277545722905893162290980495626025,13.548950313517879351412981282285896
H?NH ?N SÁNG,7.861635220125787E-4,VOS,10.29401503075605546712059343035861428195068866939147360,2.32192809488736227179033963106317000,1.00,7.97208693586869319533025379929544428195068866939147360,1.32192809488736227179033963106317000,0.6616585334366625174689784105477722100,7.9909548603969930071829010853006260,1.3219280948873622717903396310631700,1.0,0.6622775457229058931622909804956260550,14.548950313517880361299509904560295
H?NH ?N SÁNG,7.861635220125787E-4,OVS,10.29401503075605546712059343035861428195068866939147360,1.58496250072115635967088820275828984150374992788436403291117972417100,1.00,8.70905253003489910744970522760032444044693874150710956708882027582900,0.58496250072115635967088820275828984150374992788436403291117972417100,0.7690460190723929300914621148663510400,8.7279204545631996406498729580872200,0.58496250072115627310918574942048390,1.0,0.7694685606934456257054845399022437550,13.811984719351673727832538031773701
H?NH ?N SÁNG,7.861635220125787E-4,OSV,10.29401503075605546712059343035861428195068866939147360,1.58496250072115635967088820275828984150374992788436403291117972417100,0.0,8.70905253003489910744970522760032444044693874150710956708882027582900,1.58496250072115635967088820275828984150374992788436403291117972417100,0.769046019072392930091462114866351025,8.7279204545631996406498729580872200,1.5849625007211563596708882027582900,0E+14,0.769468560693445619410321769075152050,13.548950313517879351412981282285896
H?I QUÂN_NG??I_LÍNH R?I TRUY?N ??N,7.861635220125787E-4,SVO,10.29401503075605546712059343035861428195068866939147360,0.0,0.0,10.29401503075605546712059343035861428195068866939147360,0.0,0.999999999999999999999999999999999975,10.312882955284356288859769338638190,0E+14,0E+14,0.999999999999999999999999999999999975,17.455840909126399281299745916174440
H?I QUÂN_NG??I_LÍNH R?I TRUY?N ??N,7.861635220125787E-4,SOV,10.29401503075605546712059343035861428195068866939147360,0.0,0.0,10.29401503075605546712059343035861428195068866939147360,0.0,0.999999999999999999999999999999999975,10.312882955284356288859769338638190,0E+14,0E+14,0.999999999999999999999999999999999975,19.040803409847555929509642296725410
H?I QUÂN_NG??I_LÍNH R?I TRUY?N ??N,7.861635220125787E-4,VSO,10.29401503075605546712059343035861428195068866939147360,1.58496250072115635967088820275828984150374992788436403291117972417100,0.0,8.70905253003489910744970522760032444044693874150710956708882027582900,1.58496250072115635967088820275828984150374992788436403291117972417100,0.769046019072392930091462114866351025,8.7279204545631996406498729580872200,1.5849625007211563596708882027582900,0E+14,0.769468560693445619410321769075152050,19.040803409847555929509642296725410
H?I QUÂN_NG??I_LÍNH R?I TRUY?N ??N,7.861635220125787E-4,VOS,10.29401503075605546712059343035861428195068866939147360,1.58496250072115635967088820275828984150374992788436403291117972417100,0.0,8.70905253003489910744970522760032444044693874150710956708882027582900,1.58496250072115635967088820275828984150374992788436403291117972417100,0.769046019072392930091462114866351025,8.7279204545631996406498729580872200,1.5849625007211563596708882027582900,0E+14,0.769468560693445619410321769075152050,19.040803409847555929509642296725410
