Event,Probability,Word_Order,Eta0,Eta1,Eta2,I1,I2,Entropy_Deviation_Score,Surprisal1,Surprisal2,Surprisal3,Surprisal_Deviation_Score,Mutual_Information
NGARRKA PANTI NGAJU,0.02564102564102564,SVO,4.384904386073434139187443077673757948403586330505510,2.556656707462823154415966643180380389862924375525338811477929263894620,0.0,1.828247678610610984771476434493377558540661954980171188522070736105380,2.556656707462823154415966643180380389862924375525338811477929263894620,0.500000000000000000000000000000000025,1.4780472968046445243801385448940380,3.8073549220576047152957874118629260,0E+14,0.580529380092435146873934198081141825,3.1784870149457361636674411343841662
NGARRKA PANTI NGAJU,0.02564102564102564,SOV,4.384904386073434139187443077673757948403586330505510,2.556656707462823154415966643180380389862924375525338811477929263894620,0.0,1.828247678610610984771476434493377558540661954980171188522070736105380,2.556656707462823154415966643180380389862924375525338811477929263894620,0.500000000000000000000000000000000025,1.4780472968046445243801385448940380,3.8073549220576047152957874118629260,0E+14,0.580529380092435146873934198081141825,2.5935245142245801069625115183081964
NGARRKA PANTI NGAJU,0.02564102564102564,VSO,4.384904386073434139187443077673757948403586330505510,1.00,0.0,3.384904386073434139187443077673757948403586330505510,1.00,0.657917284407833961319678733178453075,4.2854022188622486625979096011715930,1.0,0E+14,0.716199460724694999401423467871708100,0.3711320928881322418539262114511246
NGARRKA PANTI NGAJU,0.02564102564102564,VOS,4.384904386073434139187443077673757948403586330505510,1.00,0.0,3.384904386073434139187443077673757948403586330505510,1.00,0.657917284407833961319678733178453075,4.2854022188622486625979096011715930,1.0,0E+14,0.716199460724694999401423467871708100,2.5935245142245801069625115183081964
NGARRKA PANTI NGAJU,0.02564102564102564,OVS,4.384904386073434139187443077673757948403586330505510,1.58496250072115635967088820275828984150374992788436403291117972417100,0.0,2.79994188535227777951655487491546810689983640262114596708882027582900,1.58496250072115635967088820275828984150374992788436403291117972417100,0.500000000000000000000000000000000025,3.7004397181410921586575173095169610,1.5849625007211563596708882027582900,0E+14,0.550186787564199777814634181904389900,3.1784870149457361636674411343841662
NGARRKA PANTI NGAJU,0.02564102564102564,OSV,4.384904386073434139187443077673757948403586330505510,1.58496250072115635967088820275828984150374992788436403291117972417100,0.0,2.79994188535227777951655487491546810689983640262114596708882027582900,1.58496250072115635967088820275828984150374992788436403291117972417100,0.500000000000000000000000000000000025,3.7004397181410921586575173095169610,1.5849625007211563596708882027582900,0E+14,0.550186787564199777814634181904389900,0.3711320928881322418539262114511246
NGARRKA NGANTI WARLU,0.02564102564102564,SVO,4.384904386073434139187443077673757948403586330505510,2.556656707462823154415966643180380389862924375525338811477929263894620,1.00,1.828247678610610984771476434493377558540661954980171188522070736105380,1.556656707462823154415966643180380389862924375525338811477929263894620,0.157917284407833961319678733178453125,1.4780472968046445243801385448940380,2.8073549220576044267567792340702410,1.0,0.296728840817130043915950012428823150,4.763449515666892754169535879376603
NGARRKA NGANTI WARLU,0.02564102564102564,SOV,4.384904386073434139187443077673757948403586330505510,2.556656707462823154415966643180380389862924375525338811477929263894620,1.00,1.828247678610610984771476434493377558540661954980171188522070736105380,1.556656707462823154415966643180380389862924375525338811477929263894620,0.157917284407833961319678733178453125,1.4780472968046445243801385448940380,2.8073549220576044267567792340702410,1.0,0.296728840817130043915950012428823150,4.763449515666892754169535879376603
NGARRKA NGANTI WARLU,0.02564102564102564,VSO,4.384904386073434139187443077673757948403586330505510,1.00,1.00,3.384904386073434139187443077673757948403586330505510,0.00,0.657917284407833961319678733178453075,4.2854022188622486625979096011715930,0E+14,1.0,0.716199460724694999401423467871708100,2.956094593609288183143252556410020
NGARRKA NGANTI WARLU,0.02564102564102564,VOS,4.384904386073434139187443077673757948403586330505510,1.00,0.0,3.384904386073434139187443077673757948403586330505510,1.00,0.657917284407833961319678733178453075,4.2854022188622486625979096011715930,1.0,0E+14,0.716199460724694999401423467871708100,4.763449515666892754169535879376603
NGARRKA NGANTI WARLU,0.02564102564102564,OVS,4.384904386073434139187443077673757948403586330505510,1.00,0.0,3.384904386073434139187443077673757948403586330505510,1.00,0.657917284407833961319678733178453075,4.2854022188622486625979096011715930,1.0,0E+14,0.716199460724694999401423467871708100,4.763449515666892754169535879376603
NGARRKA NGANTI WARLU,0.02564102564102564,OSV,4.384904386073434139187443077673757948403586330505510,1.00,1.00,3.384904386073434139187443077673757948403586330505510,0.00,0.657917284407833961319678733178453075,4.2854022188622486625979096011715930,0E+14,1.0,0.716199460724694999401423467871708100,2.956094593609288183143252556410020
NGAJU WAJILIPI YANKIRRI,0.02564102564102564,SVO,4.384904386073434139187443077673757948403586330505510,2.25162916738782293015788547682739495849625007211561673115494175631660,0.0,2.13327521868561120902955760084636298990733625838989326884505824368340,2.25162916738782293015788547682739495849625007211561673115494175631660,0.500000000000000000000000000000000025,2.7004397181410924471965254873096470,2.5849625007211562154013841138619470,0E+14,0.500000000000000061415644592114416225,1.8159169355610284770143611363024668
NGAJU WAJILIPI YANKIRRI,0.02564102564102564,SOV,4.384904386073434139187443077673757948403586330505510,2.25162916738782293015788547682739495849625007211561673115494175631660,0.0,2.13327521868561120902955760084636298990733625838989326884505824368340,2.25162916738782293015788547682739495849625007211561673115494175631660,0.500000000000000000000000000000000025,2.7004397181410924471965254873096470,2.5849625007211562154013841138619470,0E+14,0.500000000000000061415644592114416225,3.400879436282184605854042796826608
